CanonicalId,OntologyType,SourceId,SourceSystem
ffcj5naw,Image,b24937757/FILE_0195_OBJECTS,mets-image
j67s7m8w,Image,b30551146/FILE_0162_OBJECTS,mets-image
y4xh46cn,Image,b31692977/FILE_0062_OBJECTS,mets-image
vbpsnw88,Image,b20406046/FILE_0465_OBJECTS,mets-image
d42bbu9s,Image,b18668938/FILE_0159_OBJECTS,mets-image
p9h53bvf,Image,b18475966/FILE_0007_OBJECTS,mets-image
tdupsjnr,Image,b29328317/FILE_0992_OBJECTS,mets-image
adzpafrm,Image,b18773448/FILE_1111_OBJECTS,mets-image
fega2upv,Image,b28123724/FILE_1031_OBJECTS,mets-image
jrws2mp7,Image,b21110669/FILE_0100_OBJECTS,mets-image
jgemtc5p,Image,b22046719/FILE_0369_OBJECTS,mets-image
ywnk7uhr,Image,b20049821/FILE_0102_OBJECTS,mets-image
gdu6gzwj,Work,1686514,sierra-system-number
vnyer4e2,Image,b30092991/FILE_0140_OBJECTS,mets-image
nwvmu4jh,Image,b21982399/FILE_0254_OBJECTS,mets-image
y77utrtq,Image,b21965006/FILE_0226_OBJECTS,mets-image
aaqsyfj6,Image,b2229658x/FILE_0203_OBJECTS,mets-image
ufpaxgxc,Item,b23165303,sierra-system-number
ex9pna7t,Work,b23015986,sierra-system-number
enrtwcv2,Image,b29332758/FILE_0294_OBJECTS,mets-image
fydqvtv2,Image,b24857464/FILE_0059_OBJECTS,mets-image
g7tjmnxc,Image,b2809153x/FILE_0367_OBJECTS,mets-image
jzue9k2a,Image,b22656753/FILE_0510_OBJECTS,mets-image
gmhtad5s,Image,b29314732/FILE_0002_OBJECTS,mets-image
acphcbup,Image,b21444080/FILE_0047_OBJECTS,mets-image
afffp63d,Image,b31666899/FILE_0024_OBJECTS,mets-image
ukspfwk8,Image,b21217567/FILE_0020_OBJECTS,mets-image
da94vkch,Work,b32053617,sierra-system-number
a74tn24d,Item,i17779972,sierra-system-number
xhge8jke,Image,b18218702/FILE_0114_OBJECTS,mets-image
pskgbd8h,Image,b22040651/FILE_0394_OBJECTS,mets-image
